item_description,item_id,restaurant_id,restaurant,classification,unit_price,address_city
Molho Chicken McNuggets Barbecue,00039a15178b11924de22fd1a02f6efb00d8af33c171a6b67614871e8d6012da,94334f0d9d4cd0790a653e95a904a33dfb38d98e842e915f22bad38036d664bc,Mcdonald's - Extra Interlagos,Acompanhamentos,2,SAO PAULO
Molho Chicken McNuggets Barbecue,00039a15178b11924de22fd1a02f6efb00d8af33c171a6b67614871e8d6012da,16ef7791bef616c120d740733cdb94490badd04582bb2b6d697da0955a0c8f42,Mcdonald's - Vila Leopoldina,Acompanhamentos,2,SAO PAULO
Molho Chicken McNuggets Barbecue,00039a15178b11924de22fd1a02f6efb00d8af33c171a6b67614871e8d6012da,d1dd624567a14ecaff57e4f3d974dcdca9154f2b10e951c532418232c27b0c5b,Mcdonald's - Av. Itaquera,Acompanhamentos,2,SAO PAULO
Molho Chicken McNuggets Barbecue,00039a15178b11924de22fd1a02f6efb00d8af33c171a6b67614871e8d6012da,08531a923ad961bd24ba64691f3f729a65b5b4b6015bf7185b800f19677c6434,Mcdonald's Afo - Shopping Anália Franco,Acompanhamentos,2,SAO PAULO
Molho Chicken McNuggets Barbecue,00039a15178b11924de22fd1a02f6efb00d8af33c171a6b67614871e8d6012da,eebc10d68c60d3848abc35921ab7778845b165a783b0b8d52019e2c322bdc6aa,Mcdonald's - Av. Faria Lima,Acompanhamentos,2,SAO PAULO
Molho Chicken McNuggets Barbecue,00039a15178b11924de22fd1a02f6efb00d8af33c171a6b67614871e8d6012da,6079965b9d1d03254b3b7e4510c2d5cb36e26f55f045c2404f0f109a5a7faadf,Mcdonald's - Carrefour Aricanduva,Acompanhamentos,2,SAO PAULO
Molho Chicken McNuggets Barbecue,00039a15178b11924de22fd1a02f6efb00d8af33c171a6b67614871e8d6012da,17e1020199554cb2d15fc288085701c1fd24567130accaa617641efa8d750fd6,Mcdonald's - Nova Faria Lima,Acompanhamentos,2,SAO PAULO
Molho Chicken McNuggets Barbecue,00039a15178b11924de22fd1a02f6efb00d8af33c171a6b67614871e8d6012da,9d0d3e874cb4cc2c5aefb86c4914df4fa9d26f5529f858ed171c1549469a79ca,Mcdonald's - Shopping Mooca,Acompanhamentos,2,SAO PAULO
Torta de chocolate com caramelo salgado,00039b8c679f298a92181c65f7dd3bf117beda6262a43f62d16427cbc6c05c34,353fefc88f8e435cd81970b9178a259c553f3093cb3676399aeeee51e9490f4c,Bem Torta Bistro,Tortas doces,15,SAO PAULO
Cerveja lata 350ml,0003e24a9af959481ffd307a57b25e58dd3c3926f7714083d3c7115700e0b483,dab6cee01ae90cc5607ab580cfe18f94bfc5c51f99260a05ac898e133f59a9ef,Classic Burger,Bebidas,6,SAO PAULO
Refrigerante COCA-COLA 2 litros,0003e697a9847542c10c4736a1fd244a78705850c751564128360012cb39ec0c,656b31fde7c598a032c10c3e178c9198622d536225fe4c6b65c687b99333a9cf,Marta Delivery Restaurante,Bebidas,10,SAO PAULO
Spaghetti carbonara,000430d567024ee091bc9e801b340b9e27e19b0739532eb6a9ca583378cdc5cf,a340aadbc66f114311946d70c685a8c8abec9385153a9d8a5b8390b17fd8b273,Villa Imperial,Pratos,33.9,SAO PAULO
Carne com Brocolis,00043212cf729e980fddab6c3da120288058db18e02ddb641e79b78a197426ed,cb5342e11e95fd337f179eaf6d19b06d4f884725c27fd9a6354ab0e7d809d52e,Shopsoey,Porção pequena sem arroz,14.9,SAO PAULO
18 - Redonda grande 900gr,00050051e1c4d2545f2c0196b0139ac3a27a9d6ba2de4dc0fc180fd2b000504a,ddf5c92a59b73260b508811f5e9b03374135661f3f1113f1a0956875264b3509,Central Park Delivery Lapa,Marmitex redonda grande tradicional 900gr,17.99,SAO PAULO
Shimeji Porção Pequena ,0005165cb552660fffbcf8599bdbc22b8e3b5168cac55dbf8171facdb09f5af3,8d8273c6d3cf4dc06a8a36de9e5e6d6882647e5c46b820b86827835c0b515930,China Pop Delivery,Yakissobas,16,SAO PAULO
Esfiha bacalhau,0005f44c7154945a10367cfc9e56ab8eaa439b5f0000ed398d53dfeb57173e78,9d197debb6cd8de0c074ac7c50aee36e72cce0849c1a47de948186dc2dd73449,14 Bis Pizzaria Vila Americana,Esfihas Salgadas,6.54,SAO PAULO
Extra espeto misto na brasa,0006b45ec0da19dca30f968688b32b735e8e16e3e1d722f6178197f7bb7581c7,510e853fb3ddb7e4196715b10c27efe7a8ac9ae8f547ec71d711366dd831153c,Nostra Casa Restaurante,Extras,12.5,SAO PAULO
Pastel pizza,0006bb3eb89c97ae684a868de83bcdb8f41386343a3399263e8153a5684f686a,a3f20c3175e2156c503d4eb09dbbe36bd7be120950e05cb3421f2416283f73a2,Hani Esfiharia - Ipiranga,Pasteis,6.1,SAO PAULO
Filé de frango crispy,0006dde459b754a8a156d64db1d9bc9417ad8b3207d347bf08eb48745c67971b,413387e20753b797317fd011ac792f7ef9b3e4deb756017360ef1757ea2f4d88,Restaurante Mafalda,Sugestões do Chef,26.9,SAO PAULO
Combo cheese salada bacon,0006e1339d1d2dce34b3ac23c2d86e50c61e409b55be2d0aebf131d0143bc75c,75e2e0975ead225bcf43995efdcd0aee51f401ec48d7f3bd8fc5f5c348c542ba,Dom Benedito Hamburgueria,Combos,30.5,SAO PAULO
23- milho com catupiry,0007459f7932d2fbfc73b5542cc77a5c2e808c610bc9757807b16e3e723587b5,106c4e1c22872f68fce0e237151438cc9be9c77987e1a7d68b6fe70a61028fea,Bella Casa 2 Restaurante & Pizzaria,Esfihas Salgadas,4.9,SAO PAULO
Porção de salpicão grande,0007ab3a80b970360404cd3d18813ea479864bc60cc6a0da0874af8088337c2d,24da65349e3efa7d02ceaf6ccf660f2949106e5970121db7fff7f315328976e6,Frango Assado Das Gurias,Porções,16.5,PORTO ALEGRE
Bebidas Natural One,000817cc782edd9c29d2e10d24eb71e14563767bbc67f7c36140a3d213757de2,31b720f915998603cfeeb33a7d0b1e357cd008e8d316edd9c3f581f87685d451,Subway - Eldorado,Bebidas,7,SAO PAULO
Halawi,00085a0c3c6698038fe8165d25a7b5466b47c9c160d8d1600c9a2c57f567da8c,d78c689d8c2cd0df077b6ac1669cee434a7c17ba1a328f7c840e753b1037fbcd,Alibabar,Doces Árabes,6.5,SAO PAULO
Kibe,0008618e89c31fc9f9aec99d6386096789bb805182e6b7a40fe3c8f015f3e91a,db3c8bb489559a99c2ce6a180334d73e62d972fb307c08a68d83f806dfd3b07c,Bento Salgados,Salgados,3,SAO PAULO
08-4 THE WHO PICANHA(X-BACON CATUPIRY SALADA),0008fa1140b4752b8d7ebf4a45e5e0058bdb32539c5359e732a2521b3e57c275,a970c036d6c4bf2fb0301a90e4eb105d5c4698cea8031b9746f3b800a8b84020,Rock Burger Delivery,Hambúrgueres Tradicionais,32.9,SAO PAULO
Heineken 250ml,0009288d34c40c07883be92d3abb7ac20c00ffb6fcd153aa4918595eb1a26a95,246a46a8dbc1969244a7037c483bf7a868a47cb7b178e817c71b8f6cb04e2b30,Kfofo Do Kbessa Hamburgueria,Bebidas,6,SAO PAULO
Two burguer,00093b8baf55c17e7f315a2f8eea940e3da995967931735ed25233706f7fa2a0,a5ceb4a866097a8cc0f4eed7fa51d5df61dd6c10a26f60ff749e4a9f162c7983,Tatu Burguer,Sanduiches tradicional,16,SAO PAULO
"Feijoada Artesanal, Media para duas pessoa.",000978197722bbb2f8ef99118eefeb56ea2b9b7ead6b377e600e422944e9fa38,0987fdc2ecf008b0e938f192b1f32bfbbd09a0a5bde4892ffebf40547f5be089,Ki-rango Restaurante,pratos do dia,33,SAO PAULO
Calabresa,0009970ee9f765fa25316cd3277c29e93863ff5e8b2a4d9408c360a17a35c63d,e6ca3c9fedf39282090d16ce056aa7ddf5e1e5d567123c55d86ce5eaee16265f,Imperador Grill & Espeto,Pratos diários,13,SAO PAULO
18 - Pastel de Calabresa com Catupiry,0009d37218a5caa18ba6d9c23beaf2f4c78eea4d3abe36d927a028eba8caa4c4,c8f669a0750a153c5eea2c22c3f95ef33d40ea12c9dac5ce255c099193ef8248,Salgateria E Pastelaria Hikari,Pastéis salgados,8,SAO PAULO
FRITAS BACON CHEESE,000a7468f162d9b3f5423df6532a675f053690e73e1445d6404b46d5f76f6993,ddbadef85c1e1e8e627f0237da959c2a785ffb1e5e0dc605e974df902d90cf5e,Break Lab Burger,ESCOLHA SUAS PORÇÕES,21,SAO PAULO
FRITAS BACON CHEESE,000a7468f162d9b3f5423df6532a675f053690e73e1445d6404b46d5f76f6993,ddbadef85c1e1e8e627f0237da959c2a785ffb1e5e0dc605e974df902d90cf5e,Break Lab Burger,ESCOLHA SUAS PORÇÕES,19.5,SAO PAULO
Esfiha de Calabresa com Catupiry,000ae31fad6d0779b64a2e1b74d1f8d14f6a2f2617b207ab06ec7eb3f38368d3,95bb1678f9591bb1b2dbffb2fa129c2b27a25e2d43531169ef1e735ae5643a35,Pizzaria E Marmitex Monteiro,Esfihas,4.5,SAO PAULO
1/2  torre filé a os 4 queijos serve de 3 a 4 pessoas.,000b912a7ec5066d363aec27c78b5561c6038f7f506576aadfe487c520ca16a5,3b05bafd0d6eea91194f9ec2e598d1ee252fb25fe44e977659a47574f21313bf,Paulinha Lanches,torres,47.9,PORTO ALEGRE
Kit 1,000be716fb3f9fb27e6dd28daf62a978bda1478c77d9ba83c62f9078f5a72d2d,1483dc7346220d02a16f90e90572776f4a7614cea4adc7ecab555e26b7d00dd7,Kantinho Do Sabor,Kits,18,SAO PAULO
Del Valle Uva 450 ml,000c05ae18c3d9570ceadf2e28aeb793a502361ea2d18dc2cf87f344e0cfad31,576aed23672bfea9769a2d4a946301446a782f4f0306890f3292d740f5d2ecb5,Tempero Da Vovó,Bebidas,5,SAO PAULO
X-TUDO C/ BATATA,000c7967d929055bfc0e759329d3bcab9932a9dd7c6d36bda56285bc5392c0b5,67dda3a4863ae875c8b710f4ca4a9c32f077fa1444989185be90681040c38404,Pizzaria E Hamburgueria Galiléia,Lanches,21,SAO PAULO
Suco de laranja (natural),000d60d01c655c538047a4a3f024a843da9898cd74bd0fd22a40b41d6f0851f5,adcc66b6a1712170538fb44c3182e5ffa893e74f15ae3092b8482436d0e2219f,Bella Panela,Outros,5,SAO PAULO
Esfiha Premium de Espinafre com Philadelphia,000e1802b8413d93157cdf29b25e0b63d95c955e0f858fc6206a7987d82e8148,f78692f7c7c9edc8e7a72daac3208b89bbcd174864be095ffb4cc2d6a910ade6,Habib's - Campo Limpo,Esfihas e Salgados,3.2,SAO PAULO
Pastel de Belém,000e1802b8413d93157cdf29b25e0b63d95c955e0f858fc6206a7987d82e8148,7ef6556eff13ffc205960a9517f1a6e907fb2a2d964a041e471745f5f824920a,Habib's - Praça Floriano,Sobremesas,3.5,SAO PAULO
Uramaki skin 08 peças,000e29dd576c86762252c8f055e75554fb91fd8c0969ceceff45563a62acc696,50de6b32ff40d804bff19bf87a0a85c676781ee32b7cee7ec4a8973c39a5acb6,Bamboo Sushi House,Uramaki,5.9,PORTO ALEGRE
Bife à Milanesa,000e51416a3a714208d3cd2915cc057acaaeaac8e685695346665dbfa2aee563,1948d359d315705a4f1758a2035b58d379e99738e9afbf14b5716b8b442fc28b,Eskenta Restaurante E Bar,Pratos executivos,20,SAO PAULO
Dois Queijos,000e812af9b1de7e76f7171a77edfb80da2732efbffc9ed7b59ed399819d906c,f5bc75bbbe74ffd14e069217df2c5cfc919ac7f211e29d7008c26704d1f8fdd7,Pizzaria Da Nonna,Esfihas,3.4,SAO PAULO
presunto c/queijo,000ef1d4b9482c5f06e8054713c3a9349e7c5d065ee326c5192fbe33ef7bb915,96362723b4836f396161190178beb9781911febb9da7e6149b4bf1faee3b8462,Pizzaria O Gordo E O Magro,esfihas,4,SAO PAULO
300 - refeição makis de salmão,000f21ac06aceb9cdd0575e82d0d85fc39bed0a7a1d71970ba1641666a44f530,b0f860f46632f3456ac53cfc8494c6c41878f18be9d4cf7d4b3698e7e3d91a17,Makis Place - Borba Gato,Refeições,25.9,SAO PAULO
B.m.t,000f21ac06aceb9cdd0575e82d0d85fc39bed0a7a1d71970ba1641666a44f530,9f046b3a4d0175da1ecd32f7cd007e98b3ffa0633f31caeccbe32dec7dcaceb8,Subway  Jaçanã,Sanduíches tradicionais 30cm,26.4,SAO PAULO
B.m.t - 15 cm,000f21ac06aceb9cdd0575e82d0d85fc39bed0a7a1d71970ba1641666a44f530,4c770a8527453604f077f00abd73b82bb8f4cbd95316fa5f000764bc78ce9be9,Subway - Graças,Sanduíches tradicionais 15cm,15,RECIFE
B.m.t - 15 cm,000f21ac06aceb9cdd0575e82d0d85fc39bed0a7a1d71970ba1641666a44f530,31555915691bfb3ced97b251d81c78e1d34b8b5a117445e0438a4c0201d5a9c5,Subway - Caxangá,Sanduíches tradicionais 15cm,15,RECIFE
Beirute de Filé de Frango + 1/2 batata frita,000f21ac06aceb9cdd0575e82d0d85fc39bed0a7a1d71970ba1641666a44f530,c3438cd15c4b3c619eab99fe5068b3e35e8c763ed96f33b039bf7a82e8a537a6,Ponto Chic - Paraíso,Beirutes,39.43,SAO PAULO
COCA COLA 2 litros,000f21ac06aceb9cdd0575e82d0d85fc39bed0a7a1d71970ba1641666a44f530,52668aa3f603ba18112f12ef43d41db0db786a1e2cd2e13f46fa01ff01c9aa77,Pizzaria Os Muzzarelas,Bebidas,12,SAO PAULO
Chicken Burger,000f21ac06aceb9cdd0575e82d0d85fc39bed0a7a1d71970ba1641666a44f530,ece38339569398e0cbcca43550f995bbf2e0b8d77d74764b37ee8d66a95a5c35,Original Burger - Faria Lima,Original burgers  ,17.9,SAO PAULO
Esfiha sensação,000f21ac06aceb9cdd0575e82d0d85fc39bed0a7a1d71970ba1641666a44f530,aa8f2a044b26d8e9a7668cd4ae39b05f4f4dadeb251311214fd9a116b6de1bed,Pizzaria Serrana - Tremembé,Esfihas doces,6,SAO PAULO
McFish,000f21ac06aceb9cdd0575e82d0d85fc39bed0a7a1d71970ba1641666a44f530,f95dace6d308c902b9a2406d36694ceb652179868c1bbf181a27558fbb4e16ef,Mcdonald's - Praia De Belas,Sanduíche Peixe,18.9,PORTO ALEGRE
Nhoque com frango ao forno,000f21ac06aceb9cdd0575e82d0d85fc39bed0a7a1d71970ba1641666a44f530,91fa31b13dee554eb19b9909d32d571d28990df13055b06b3ac75e544705853f,Papis 760 Lanchonete E Restaurante,Terça feira,25.5,SAO PAULO
Picanha Gourmet,000f21ac06aceb9cdd0575e82d0d85fc39bed0a7a1d71970ba1641666a44f530,f07c0ae3405eb77eabbfee68b378e0dcdecfb9b8a0b9ae9beb207ac1244edd89,Bob's - Shopping Metro Tatuapé,Sanduíches,18,SAO PAULO
"REFRIGERANTE COCA-COLA 2,5 LT",000f21ac06aceb9cdd0575e82d0d85fc39bed0a7a1d71970ba1641666a44f530,d1c8e2d28f39247b443db942b023b037df1a2aab0d09269443817bb803b8c001,Sabios Pizzaria,BEBIDAS,15,SAO PAULO
Salada lucco,000f21ac06aceb9cdd0575e82d0d85fc39bed0a7a1d71970ba1641666a44f530,070bf7e40486b1229ad8f0e36060d1524c255af10047b5307d2b9325f921a161,Famiglia Lucco Delivery,Saladas ,28,RECIFE
Sanduíche Frango Defumado com Cream Cheese 30cm,000f21ac06aceb9cdd0575e82d0d85fc39bed0a7a1d71970ba1641666a44f530,f2498f6099d49008b1b5605750f454e3432f3c6a4b5d232fad1923c2a701ceb8,Subway - Grajaú,Sanduíches Exclusivos  30cm  ,32,SAO PAULO
Stella artois long neck,000f21ac06aceb9cdd0575e82d0d85fc39bed0a7a1d71970ba1641666a44f530,c8025aa21380aa8b0440a4383cad83dfc916eddb61e23c0a95029e703e589fdf,Manos Drinks,Cerveja premium,6.5,SAO PAULO
Uni gotas,000f21ac06aceb9cdd0575e82d0d85fc39bed0a7a1d71970ba1641666a44f530,e052834d88b554b86a3ba0d598a0940e297f41e44c2dc18b4dd87cbf8326954b,Uni Açai Sorocaba,Combinados,4,SAO PAULO
Água com gás,000ff76031c429f2e8d6abcbff77c0283007c47188dcf040891e04aecc786c01,a87d814b2a666670f465907d1ea8ee076bc16c223a50360718095594cb8a27ca,Moda Nostra Delivery - Boa Viagem,Bebidas,4,RECIFE
Sweet Hot 10 peças,0010435ead463648fceb4e70fc3cdfff6acaef99cedda4795ca56c15f1b0adc2,7d8f2d3de19d2c1fa47623dcba13dacc5df20b82e10064228c3ad60722a1f4e8,Sushi Namoto - Passo Da Areia,Delícias do verão no seu inverno,27,PORTO ALEGRE
Filé parmegiana,0010889d998fcccf90770eaa017d49bbd9b80f1a5bd11cbdf10cba314bf0281c,c185f64c299e91c4fc8d44f4fe968a37b012c4c252b1686e0345fe1ae6c78d53,Don Maitre,Pratos,63,SAO PAULO
Petit gateau de chocolate,0010a99d60cb66673636ce38d1e6bf505ce3acfc99465c7c5404810aa0e70724,70ca7d574572389fc9a72c738f035b96711f6eaaeb338eba8a97b869c90b063d,Aze Sushi,Dessert sobremesas,12,SAO PAULO
Açaí trufado Grande 500ML,0010bc0690f88e521d328d3f51de99f3f342e1a36546f059250b14049601f485,793db088ccb0f3061a26d56bff3c97d74a67936484191edbcd72a53ede94c6bb,Garagem Do Acai,AÇAI TRUFADO,29,SAO PAULO
Combo Hambúrguer Cheese Salada (Batata média 100g + Refrigerante lata),001118cef5dc759471646e5465c6024eebaf70b6488740f6650b66740c8612cb,4135535618ad3196e707e11c000410446ed0f646259706433de3b97c7b1886f5,Habib's - Afonso Braz,Promoções Especiais,17.9,SAO PAULO
Esfiha de Camarão I,00119d6858ad51c272c957711c070b122db7042ca296489a79f430e90a56a750,68d102e1ae3ab00504a41b7319e91aaf5bc7687944e09595512340062757ba8b,14 Bis Pizzaria-pq Guarani,Esfihas Salgadas,6.54,SAO PAULO
Nigiri de polvo - 4 unidades,0011cf07d7f28cfb5c5d0c7feb1f77557f19c132c2a04fb77c32814a2692055c,008e622de8e8f7baecf7f5f587bd9a3ef20504661d676949a0e9c351485ee5de,Aki-sushi,Diversos,9.5,SAO PAULO
Dogma Rizoma Double IPA 473ml,00120becd85d32ff5ac59e696ee27ed15f825a4b3a60f027aeba3701b1823729,3746576932e22f61d040841f4955fbfb55567dc3aad4e71ea72f3893d95b275f,Hoppi Cervejas Especiais,Destaques,42.9,SAO PAULO
112- Beirute calabresa,00124da444f34894b399dda33cbbd14960735752dfeafef835e6b5ca24ec0419,9db369d45092f80664eaaab36ef08c8b554407428370a8dd138c1b4642b7ce0a,Pizzaria Don Biaggio,Beirutes,25,SAO PAULO
Pizza de Mussarela Especial,0012b2bad07a01c75e65ca4cabecf9cee2c7ccc9ed808db883c89335833e59a8,61560153ab5cfe12f47634ca64edee2b9a052b9578a68221b9c54deb5b62ea16,Pizza Show,Promoções,25,SAO PAULO
Figado acebolado+salada,0012d301d3e44776ad07f6b62fd03cd979c0d36ac8b8451a72d1fd6d7a56ae11,b2879fa02d87f5f91b793ca1343269ac454ccf444dd916c020b327e004589b2e,Ast Lanches E Refeicoes,Pratos ,15,SAO PAULO
CERVEJA HN LONG NECK,0012f02680dc102a7928f063bba699276464b9c8fc4170b00070ab65930af584,2308f5dce850452916a56526c2fa4550a31b03404a92700385df7294f0e87e2c,China In Box - Vila Carrão,Bebidas,7.6,SAO PAULO
Soda italiana 300 ml,00132c187753419b70c7ea17353b97ca8e59d55312c3f400b89773d6a3f2980b,ca0c228f13a1eb5a4a946da5027baeb678ad195bc3affe3d2a3176e0b4d3c293,Cafeteria Santa Clara,Bebidas,8.9,RECIFE
McFritas grande,001341fd6c30baee460f51c9baf1dd0dd06a5e1a82b73b6b65d866eb9b33b868,599652ecab12c80f37fe23e765dbc89a7287f51d3d095a82b7e0e6f8bf390b3f,Mcdonald's - Borba Gato,Acompanhamentos,9.5,SAO PAULO
Combo Top BIB's Burguers (Batata Média 100g + Refrigerante Lata),0013509ba8cf106ea96150a1dd69f02eccc070629596852201dd32c98590e120,f5c71a4b1465c344bf35e8ee3b600a9cc43332a3629fc3e6078389a33de36eb9,Habib's - Mostardeiro,Promoções Especiais,21.9,PORTO ALEGRE
Esfiha de Cheddar com Bacon,0013509ba8cf106ea96150a1dd69f02eccc070629596852201dd32c98590e120,d05b49ab74a8c7025b4fe9f8325fa0bbff6eee48fb84ef4cf19449dabebd5f87,Habib's - Jabaquara,Esfihas e Salgados,2.48,SAO PAULO
Saca rolha,001387b308ed0dafd781ab86f0264117518256497334aa835ab008d1b47d8b8a,317e7e92155184d7e5827bc2e5f73a1bc855464e1107bf9299efaff32f5b4068,Santa Entrega,Outros,21.9,SAO PAULO
